State Name,State Code
Andhra Pradesh,AP
Arunachal Pradesh,AR
Assam,AS
Bihar,BR
Chhattisgarh,CG
Goa,GA
Gujarat,GJ
Haryana,HR
Himachal Pradesh,HP
Jammu and Kashmir,JK
Jharkhand,JH
Karnataka,KA
Kerala,KL
Madhya Pradesh,MP
Maharashtra,MH
Manipur,MN
Meghalaya,ML
Mizoram,MZ
Nagaland,NL
Odisha,OR
Punjab,PB
Rajasthan,RJ
Sikkim,SK
Tamil Nadu,TN
TELANGANA,TS
Tripura,TR
Uttarakhand,UK
Uttar Pradesh,UP
West Bengal,WB
Andaman and Nicobar Islands,AN
Chandigarh,CH
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DH
Daman and Diu,DD
Delhi,DL
Ladakh,LA
Lakshadweep,LD
PUDUCHERRY,PY
